"last_name, first_name","player_id","year","hit","strikeout","walk","p_earned_run","p_save","p_blown_save","p_out","p_win","p_balk","p_quality_start","p_hit_by_pitch","p_hold","p_total_pickoff"
"Akin, Keegan",669211,2024,55,97,19,"29","1","3","236","3","0","0","2","6","0"
"Newcomb, Sean",656794,2024,9,7,8,"7","0","0","30","1","0","0","1","0","1"
"Liberatore, Matthew",669461,2024,81,76,28,"42","0","2","258","3","0","1","2","7","1"
"Fairbanks, Pete",664126,2024,36,44,17,"18","23","4","136","3","1","0","0","1","1"
"Cosgrove, Tom",676680,2024,23,15,6,"19","0","0","44","0","0","0","4","2","0"
"Nastrini, Nick",680897,2024,32,26,36,"28","0","0","107","0","0","1","1","0","0"
"Thompson, Zack",668868,2024,24,20,8,"18","0","0","51","0","0","0","1","0","0"
"Boyle, Joe",671212,2024,42,56,40,"34","0","0","143","3","1","1","4","1","1"
"Weems, Jordan",607179,2024,49,35,24,"31","0","2","125","1","0","0","2","5","1"
"Knack, Landon",689017,2024,58,69,18,"28","1","0","207","3","1","2","3","0","0"
"Sands, Cole",663485,2024,59,85,12,"26","4","3","214","9","1","0","6","5","0"
"Guerrero, Luis",692285,2024,6,9,2,"0","0","0","30","0","0","0","0","3","0"
"Young, Danny",664849,2024,29,48,18,"19","0","0","113","4","0","0","7","7","0"
"Adam, Jason",592094,2024,40,81,23,"16","4","4","221","7","1","0","6","31","1"
"Smith, Cade",671922,2024,51,103,17,"16","1","2","226","6","1","0","3","28","0"
"Contreras, Roansy",672710,2024,63,56,31,"33","2","2","205","2","0","0","4","1","0"
"Blach, Ty",621389,2024,103,36,18,"55","0","1","214","3","0","2","6","0","1"
"Festa, David",701581,2024,62,77,23,"35","0","0","193","2","1","1","2","0","0"
"Stratton, Chris",608717,2024,53,44,33,"36","4","3","175","4","0","0","3","5","1"
"Legumina, Casey",668984,2024,15,7,2,"9","0","0","28","0","0","0","1","0","0"
"Molina, Anthony",683627,2024,72,41,22,"45","0","2","179","1","0","0","2","2","0"
"Stewart, Brock",592779,2024,15,20,8,"9","0","0","47","0","0","0","0","7","1"
"Koenig, Jared",657649,2024,54,63,23,"17","1","2","186","9","0","0","4","10","0"
"Hernández, Daysbel",678226,2024,10,26,10,"5","0","1","54","3","0","0","1","1","0"
"Cabrera, Edward",665795,2024,82,107,49,"53","0","0","289","4","1","5","5","0","0"
"Megill, Trevor",656730,2024,33,50,14,"14","21","3","139","1","0","0","1","6","0"
"Zuñiga, Guillo",670871,2024,16,12,8,"10","2","0","53","0","0","0","1","0","0"
"Armstrong, Shawn",542888,2024,77,66,25,"36","1","2","200","3","1","0","2","5","0"
"Speier, Gabe",642100,2024,19,33,14,"15","0","1","71","0","0","0","2","7","0"
"Mlodzinski, Carmen",669387,2024,41,46,19,"19","0","2","152","5","0","0","2","5","0"
